country,year,infantMort,fert,continent,lifeExp,pop,gdpPercap
Bosnia and Herzegovina,2002.0,7.2,1.28,Europe,74.09,4165416,6018.975239
Bosnia and Herzegovina,2007.0,7.1,1.21,Europe,74.852,4552198,7446.298803
Botswana,1952.0,NA,6.49,Africa,47.622,442308,851.2411407
Botswana,1957.0,126.4,6.57,Africa,49.618,474639,918.2325349
Botswana,1962.0,109.0,6.65,Africa,51.52,512764,983.6539764
Botswana,1967.0,94.1,6.7,Africa,53.298,553541,1214.709294
Botswana,1972.0,79.1,6.58,Africa,56.024,619351,2263.611114
Botswana,1977.0,63.2,6.4,Africa,59.319,781472,3214.857818
Botswana,1982.0,50.0,6.01,Africa,61.484,970347,4551.14215
Botswana,1987.0,42.0,5.21,Africa,63.622,1151184,6205.88385
Botswana,1992.0,44.2,4.39,Africa,62.745,1342614,7954.111645
Botswana,1997.0,51.3,3.75,Africa,52.556,1536536,8647.142313
Botswana,2002.0,50.3,3.23,Africa,46.634,1630347,11003.60508
Botswana,2007.0,45.5,2.91,Africa,50.728,1639131,12569.85177
Brazil,1952.0,NA,6.15,Americas,50.917,56602560,2108.944355
Brazil,1957.0,140.1,6.18,Americas,53.285,65551171,2487.365989
Brazil,1962.0,122.9,6.14,Americas,55.665,76039390,3336.585802
Brazil,1967.0,109.8,5.49,Americas,57.632,88049823,3429.864357
Brazil,1972.0,97.4,4.78,Americas,59.504,100840058,4985.711467
Brazil,1977.0,84.7,4.34,Americas,61.489,114313951,6660.118654
Brazil,1982.0,69.7,3.85,Americas,63.336,128962939,7030.835878
Brazil,1987.0,56.8,3.17,Americas,65.205,142938076,7807.095818
Brazil,1992.0,46.8,2.64,Americas,67.057,155975974,6950.283021
Brazil,1997.0,34.8,2.45,Americas,69.388,168546719,7957.980824
Brazil,2002.0,24.3,2.26,Americas,71.006,179914212,8131.212843
Brazil,2007.0,17.1,1.94,Americas,72.39,190010647,9065.800825
Bulgaria,1952.0,98.0,2.55,Europe,59.6,7274900,2444.286648
Bulgaria,1957.0,66.0,2.31,Europe,66.61,7651254,3008.670727
Bulgaria,1962.0,NA,2.21,Europe,69.51,8012946,4254.337839
Bulgaria,1967.0,38.4,2.14,Europe,70.42,8310226,5577.0028
Bulgaria,1972.0,31.6,2.16,Europe,70.9,8576200,6597.494398
Bulgaria,1977.0,28.1,2.18,Europe,70.81,8797022,7612.240438
Bulgaria,1982.0,22.5,2.06,Europe,71.08,8892098,8224.191647
Bulgaria,1987.0,18.2,1.94,Europe,71.34,8971958,8239.854824
Bulgaria,1992.0,19.1,1.6,Europe,71.19,8658506,6302.623438
Bulgaria,1997.0,19.4,1.23,Europe,70.32,8066057,5970.38876
Bulgaria,2002.0,16.3,1.22,Europe,72.14,7661799,7696.777725
Bulgaria,2007.0,12.3,1.4,Europe,73.005,7322858,10680.79282
Burkina Faso,1952.0,177.1,6.09,Africa,31.975,4469979,543.2552413
Burkina Faso,1957.0,168.0,6.23,Africa,34.906,4713416,617.1834648
Burkina Faso,1962.0,157.5,6.34,Africa,37.814,4919632,722.5120206
Burkina Faso,1967.0,150.9,6.53,Africa,40.697,5127935,794.8265597
Burkina Faso,1972.0,147.1,6.7,Africa,43.591,5433886,854.7359763
Burkina Faso,1977.0,127.4,6.98,Africa,46.137,5889574,743.3870368
Burkina Faso,1982.0,113.9,7.17,Africa,48.122,6634596,807.1985855
Burkina Faso,1987.0,105.3,7.09,Africa,49.557,7586551,912.0631417
Burkina Faso,1992.0,102.4,6.95,Africa,50.26,8878303,931.7527731
Burkina Faso,1997.0,99.4,6.75,Africa,50.324,10352843,946.2949618
Burkina Faso,2002.0,93.4,6.47,Africa,50.65,12251209,1037.645221
Burkina Faso,2007.0,79.2,6.12,Africa,52.295,14326203,1217.032994
Burundi,1952.0,NA,6.8,Africa,39.031,2445618,339.2964587
Burundi,1957.0,NA,6.85,Africa,40.533,2667518,379.5646281
Burundi,1962.0,144.6,7.05,Africa,42.045,2961915,355.2032273
Burundi,1967.0,145.3,7.25,Africa,43.548,3330989,412.9775136
Burundi,1972.0,146.2,7.35,Africa,44.057,3529983,464.0995039
Burundi,1977.0,143.0,7.45,Africa,45.91,3834415,556.1032651
Burundi,1982.0,120.3,7.45,Africa,47.471,4580410,559.603231
Burundi,1987.0,103.3,7.57,Africa,48.211,5126023,621.8188189
Burundi,1992.0,104.8,7.47,Africa,44.736,5809236,631.6998778
Burundi,1997.0,100.0,7.22,Africa,45.326,6121610,463.1151478
Burundi,2002.0,88.6,6.94,Africa,47.36,7021078,446.4035126
Burundi,2007.0,72.7,6.57,Africa,49.58,8390505,430.0706916
Cambodia,1952.0,NA,6.95,Asia,39.417,4693836,368.4692856
Cambodia,1957.0,NA,6.96,Asia,41.366,5322536,434.0383364
Cambodia,1962.0,NA,6.96,Asia,43.415,6083619,496.9136476
Cambodia,1967.0,NA,6.75,Asia,45.415,6960067,523.4323142
Cambodia,1972.0,NA,6.17,Asia,40.317,7450606,421.6240257
Cambodia,1977.0,155.4,5.44,Asia,31.22,6978607,524.9721832
Cambodia,1982.0,98.1,6.01,Asia,50.957,7272485,624.4754784
Cambodia,1987.0,86.0,6.07,Asia,53.914,8371791,683.8955732
Cambodia,1992.0,85.7,5.24,Asia,55.803,10150094,682.3031755
Cambodia,1997.0,88.2,4.24,Asia,56.534,11782962,734.28517
Cambodia,2002.0,68.3,3.5,Asia,56.752,12926707,896.2260153
Cambodia,2007.0,46.5,3.1,Asia,59.723,14131858,1713.778686
Cameroon,1952.0,NA,5.49,Africa,38.523,5009067,1172.667655
Cameroon,1957.0,184.6,5.51,Africa,40.428,5359923,1313.048099
Cameroon,1962.0,160.5,5.77,Africa,42.643,5793633,1399.607441
Cameroon,1967.0,143.1,6.06,Africa,44.799,6335506,1508.453148
Cameroon,1972.0,118.2,6.29,Africa,47.049,7021028,1684.146528
Cameroon,1977.0,113.9,6.47,Africa,49.355,7959865,1783.432873
Cameroon,1982.0,103.1,6.68,Africa,52.961,9250831,2367.983282
Cameroon,1987.0,87.2,6.63,Africa,54.985,10780667,2602.664206
Cameroon,1992.0,88.2,6.26,Africa,54.314,12467171,1793.163278
Cameroon,1997.0,94.7,5.82,Africa,52.199,14195809,1694.337469
Cameroon,2002.0,86.2,5.52,Africa,49.856,15929988,1934.011449
Cameroon,2007.0,73.1,5.24,Africa,50.43,17696293,2042.09524
Canada,1952.0,37.2,3.62,Americas,68.75,14785584,11367.16112
Canada,1957.0,30.5,3.93,Americas,69.96,17010154,12489.95006
Canada,1962.0,26.0,3.77,Americas,71.3,18985849,13462.48555
Canada,1967.0,21.2,2.6,Americas,72.13,20819767,16076.58803
Canada,1972.0,16.7,1.97,Americas,72.88,22284500,18970.57086
Canada,1977.0,12.5,1.75,Americas,74.21,23796400,22090.88306
Canada,1982.0,9.2,1.64,Americas,75.76,25201900,22898.79214
Canada,1987.0,7.5,1.58,Americas,76.86,26549700,26626.51503
Canada,1992.0,6.4,1.71,Americas,77.95,28523502,26342.88426
Canada,1997.0,5.4,1.57,Americas,78.61,30305843,28954.92589
Canada,2002.0,5.3,1.51,Americas,79.77,31902268,33328.96507
Canada,2007.0,5.1,1.66,Americas,80.653,33390141,36319.23501
Central African Republic,1952.0,NA,5.49,Africa,35.463,1291695,1071.310713
Central African Republic,1957.0,NA,5.73,Africa,37.464,1392284,1190.844328
Central African Republic,1962.0,160.4,5.89,Africa,39.475,1523478,1193.068753
Central African Republic,1967.0,145.6,5.95,Africa,41.478,1733638,1136.056615
Central African Republic,1972.0,132.1,5.95,Africa,43.457,1927260,1070.013275
Central African Republic,1977.0,122.6,5.95,Africa,46.775,2167533,1109.374338
Central African Republic,1982.0,116.7,5.96,Africa,48.295,2476971,956.7529907
Central African Republic,1987.0,115.5,5.9,Africa,50.485,2840009,844.8763504
Central African Republic,1992.0,115.1,5.69,Africa,49.396,3265124,747.9055252
Central African Republic,1997.0,115.1,5.55,Africa,46.066,3696513,740.5063317
Central African Republic,2002.0,112.1,5.33,Africa,43.308,4048013,738.6906068
Central African Republic,2007.0,106.9,4.9,Africa,44.741,4369038,706.016537
Chad,1952.0,NA,6.09,Africa,38.092,2682462,1178.665927
Chad,1957.0,NA,6.19,Africa,39.881,2894855,1308.495577
Chad,1962.0,NA,6.29,Africa,41.716,3150417,1389.817618
Chad,1967.0,NA,6.39,Africa,43.601,3495967,1196.810565
Chad,1972.0,131.8,6.64,Africa,45.569,3899068,1104.103987
Chad,1977.0,128.8,6.86,Africa,47.383,4388260,1133.98495
Chad,1982.0,124.8,7.02,Africa,49.517,4875118,797.9081006
Chad,1987.0,119.3,7.2,Africa,51.051,5498955,952.386129
Chad,1992.0,113.7,7.38,Africa,51.724,6429417,1058.0643
Chad,1997.0,109.1,7.42,Africa,51.573,7562011,1004.961353
Chad,2002.0,103.4,7.27,Africa,50.525,8835739,1156.18186
Chad,2007.0,98.1,6.9,Africa,50.651,10238807,1704.063724
Chile,1952.0,138.2,4.88,Americas,54.745,6377619,3939.978789
Chile,1957.0,117.1,5.49,Americas,56.074,7048426,4315.622723
Chile,1962.0,116.7,5.46,Americas,57.924,7961258,4519.094331
Chile,1967.0,79.0,4.59,Americas,60.523,8858908,5106.654313
Chile,1972.0,65.7,3.68,Americas,63.441,9717524,5494.024437
Chile,1977.0,41.7,2.89,Americas,67.052,10599793,4756.763836
Chile,1982.0,22.9,2.65,Americas,70.565,11487112,5095.665738
Chile,1987.0,18.4,2.65,Americas,72.492,12463354,5547.063754
Chile,1992.0,13.7,2.56,Americas,74.126,13572994,7596.125964
Chile,1997.0,10.2,2.25,Americas,75.816,14599929,10118.05318
Chile,2002.0,8.3,2.01,Americas,77.86,15497046,10778.78385
Chile,2007.0,7.6,1.9,Americas,78.553,16284741,13171.63885
China,1952.0,NA,5.97,Asia,44.0,556263527,400.448611
China,1957.0,NA,6.21,Asia,50.54896,637408000,575.9870009
China,1962.0,110.0,5.97,Asia,44.50136,665770000,487.6740183
China,1967.0,NA,5.25,Asia,58.38112,754550000,612.7056934
China,1972.0,73.3,4.92,Asia,63.11888,862030000,676.9000921
China,1977.0,55.8,2.87,Asia,63.96736,943455000,741.2374699
China,1982.0,44.6,2.62,Asia,65.525,1000281000,962.4213805
China,1987.0,42.0,2.68,Asia,67.274,1084035000,1378.904018
China,1992.0,41.2,2.11,Asia,68.69,1164970000,1655.784158
China,1997.0,35.0,1.52,Asia,70.426,1230075000,2289.234136
China,2002.0,26.2,1.47,Asia,72.028,1280400000,3119.280896
China,2007.0,17.2,1.53,Asia,72.961,1318683096,4959.114854
Colombia,1952.0,111.0,6.76,Americas,50.643,12350771,2144.115096
Colombia,1957.0,100.0,6.78,Americas,55.118,14485993,2323.805581
Colombia,1962.0,85.9,6.78,Americas,57.863,17009885,2492.351109
Colombia,1967.0,77.1,6.25,Americas,59.963,19764027,2678.729839
Colombia,1972.0,65.9,5.15,Americas,61.623,22542890,3264.660041
Colombia,1977.0,52.8,4.37,Americas,63.837,25094412,3815.80787
Colombia,1982.0,39.7,3.74,Americas,66.653,27764644,4397.575659
Colombia,1987.0,31.5,3.28,Americas,67.768,30964245,4903.2191
Colombia,1992.0,27.4,3.01,Americas,68.421,34202721,5444.648617
Colombia,1997.0,23.4,2.78,Americas,70.313,37657830,6117.361746
Colombia,2002.0,20.0,2.57,Americas,71.682,41008227,5755.259962
Colombia,2007.0,17.3,2.45,Americas,72.889,44227550,7006.580419
Comoros,1952.0,NA,5.93,Africa,40.715,153936,1102.990936
Comoros,1957.0,NA,6.56,Africa,42.46,170928,1211.148548
Comoros,1962.0,NA,6.9,Africa,44.467,191689,1406.648278
Comoros,1967.0,NA,7.04,Africa,46.472,217378,1876.029643
Comoros,1972.0,145.1,7.06,Africa,48.944,250027,1937.577675
Comoros,1977.0,129.6,7.08,Africa,50.939,304739,1172.603047
Comoros,1982.0,111.9,7.03,Africa,52.933,348643,1267.100083
Comoros,1987.0,95.8,6.14,Africa,54.926,395114,1315.980812
Comoros,1992.0,82.9,5.36,Africa,57.939,454429,1246.90737
Comoros,1997.0,74.5,5.27,Africa,60.66,527982,1173.618235
Comoros,2002.0,72.5,5.3,Africa,62.974,614382,1075.811558
Comoros,2007.0,67.9,5.11,Africa,65.152,710960,986.1478792
"Congo, Dem. Rep.",1952.0,NA,5.98,Africa,39.143,14100005,780.5423257
"Congo, Dem. Rep.",1957.0,NA,5.98,Africa,40.652,15577932,905.8602303
"Congo, Dem. Rep.",1962.0,NA,6.03,Africa,42.122,17486434,896.3146335
"Congo, Dem. Rep.",1967.0,NA,6.14,Africa,44.056,19941073,861.5932424
"Congo, Dem. Rep.",1972.0,145.9,6.27,Africa,45.989,23007669,904.8960685
"Congo, Dem. Rep.",1977.0,137.1,6.44,Africa,47.804,26480870,795.757282
"Congo, Dem. Rep.",1982.0,129.0,6.69,Africa,47.784,30646495,673.7478181
"Congo, Dem. Rep.",1987.0,122.9,6.96,Africa,47.412,35481645,672.774812
"Congo, Dem. Rep.",1992.0,117.7,7.22,Africa,45.548,41672143,457.7191807
"Congo, Dem. Rep.",1997.0,112.5,7.23,Africa,42.587,47798986,312.188423
"Congo, Dem. Rep.",2002.0,103.1,6.96,Africa,44.966,55379852,241.1658765
"Congo, Dem. Rep.",2007.0,91.5,6.55,Africa,46.462,64606759,277.5518587
"Congo, Rep.",1952.0,NA,5.68,Africa,42.111,854885,2125.621418
"Congo, Rep.",1957.0,NA,5.77,Africa,45.053,940458,2315.056572
"Congo, Rep.",1962.0,106.1,5.97,Africa,48.435,1047924,2464.783157
"Congo, Rep.",1967.0,94.9,6.17,Africa,52.04,1179760,2677.939642
"Congo, Rep.",1972.0,84.4,6.3,Africa,54.907,1340458,3213.152683
"Congo, Rep.",1977.0,76.0,6.3,Africa,55.625,1536769,3259.178978
"Congo, Rep.",1982.0,68.0,6.04,Africa,56.695,1774735,4879.507522
"Congo, Rep.",1987.0,60.9,5.59,Africa,57.47,2064095,4201.194937
"Congo, Rep.",1992.0,63.0,5.24,Africa,56.433,2409073,4016.239529
"Congo, Rep.",1997.0,73.5,5.14,Africa,52.962,2800947,3484.164376
"Congo, Rep.",2002.0,73.3,5.13,Africa,52.97,3328795,3484.06197
"Congo, Rep.",2007.0,53.1,5.11,Africa,55.322,3800610,3632.557798
Costa Rica,1952.0,NA,6.68,Americas,57.206,926317,2627.009471
Costa Rica,1957.0,96.39,7.14,Americas,60.026,1112300,2990.010802
Costa Rica,1962.0,80.64,7.22,Americas,62.842,1345187,3460.937025
Costa Rica,1967.0,64.6,6.0,Americas,65.424,1588717,4161.727834
Costa Rica,1972.0,52.5,4.49,Americas,67.849,1834796,5118.146939
Costa Rica,1977.0,28.1,3.78,Americas,70.75,2108457,5926.876967
Costa Rica,1982.0,19.2,3.54,Americas,73.45,2424367,5262.734751
Costa Rica,1987.0,16.3,3.38,Americas,74.752,2799811,5629.915318
Costa Rica,1992.0,13.7,3.0,Americas,75.713,3173216,6160.416317
Costa Rica,1997.0,12.7,2.62,Americas,77.26,3518107,6677.045314
Costa Rica,2002.0,10.0,2.28,Americas,78.123,3834934,7723.447195
Costa Rica,2007.0,8.9,1.95,Americas,78.782,4133884,9645.06142
Cote d'Ivoire,1952.0,NA,6.74,Africa,40.477,2977019,1388.594732
Cote d'Ivoire,1957.0,225.6,7.12,Africa,42.469,3300000,1500.895925
Cote d'Ivoire,1962.0,197.7,7.5,Africa,44.93,3832408,1728.869428
Cote d'Ivoire,1967.0,174.2,7.81,Africa,47.35,4744870,2052.050473
Cote d'Ivoire,1972.0,151.3,7.94,Africa,49.801,6071696,2378.201111
Cote d'Ivoire,1977.0,124.7,7.84,Africa,52.374,7459574,2517.736547
Cote d'Ivoire,1982.0,109.5,7.38,Africa,53.983,9025951,2602.710169
Cote d'Ivoire,1987.0,105.2,6.75,Africa,54.655,10761098,2156.956069
Cote d'Ivoire,1992.0,104.7,6.11,Africa,52.044,12772596,1648.073791
Cote d'Ivoire,1997.0,103.3,5.63,Africa,47.991,14625967,1786.265407
Cote d'Ivoire,2002.0,95.7,5.21,Africa,46.832,16252726,1648.800823
Cote d'Ivoire,2007.0,84.1,4.93,Africa,48.328,18013409,1544.750112
Croatia,1952.0,NA,2.8,Europe,61.21,3882229,3119.23652
Croatia,1957.0,NA,2.45,Europe,64.77,3991242,4338.231617
Croatia,1962.0,NA,2.27,Europe,67.13,4076557,5477.890018
Croatia,1967.0,NA,2.1,Europe,68.5,4174366,6960.297861
Croatia,1972.0,NA,1.98,Europe,69.61,4225310,9164.090127
Croatia,1977.0,NA,2.01,Europe,70.64,4318673,11305.38517
